Name;Higher.degree;Type;Total.applicants;Total.eligibles;Total.qualified;Tuition.fees;Total.students
Madonna University;Doctor's degree practice;Private not-for-profit;1089;667;191;16340;4399
Olivet College;Master's degree;Private not-for-profit;1995;1027;301;23021;1133
Kuyper College;Bachelor's degree;Private not-for-profit;152;104;37;18454;291
Siena Heights University;Master's degree;Private not-for-profit;1422;962;300;21890;2684
Spring Arbor University;Master's degree;Private not-for-profit;2698;1755;368;23400;3962
Augsburg College;Doctor's degree practice;Private not-for-profit;2072;1261;380;33209;3554
Bethel University;Doctor's degree research;Private not-for-profit;2118;2009;612;31760;4340
Carleton College;Bachelor's degree;Private not-for-profit;7045;1476;527;46167;2045
Concordia College at Moorhead;Master's degree;Private not-for-profit;2493;1994;684;32814;2558
Concordia University-Saint Paul;Master's degree;Private not-for-profit;1359;712;287;19700;3661
Gustavus Adolphus College;Bachelor's degree;Private not-for-profit;4804;3037;610;39120;2449
Hamline University;Doctor's degree research and practice;Private not-for-profit;3427;2247;536;35108;4581
Macalester College;Bachelor's degree;Private not-for-profit;6683;2283;555;45388;2039
North Central University;Bachelor's degree;Private not-for-profit;501;477;246;19996;1305
University of Northwestern-St Paul;Master's degree;Private not-for-profit;1945;1345;466;28020;3352
College of Saint Benedict;Bachelor's degree;Private not-for-profit;2077;1569;538;37926;2051
Saint Johns University;Master's degree;Private not-for-profit;1747;1313;497;37162;1979
Saint Mary's University of Minnesota;Doctor's degree research and practice;Private not-for-profit;1551;1161;318;29315;5528
St Olaf College;Bachelor's degree;Private not-for-profit;4011;2374;752;40700;3125
Crown College;Master's degree;Private not-for-profit;1049;577;210;22430;1323
The College of Saint Scholastica;Doctor's degree practice;Private not-for-profit;1810;1315;432;31612;4206
University of St Thomas;Doctor's degree research and practice;Private not-for-profit;5540;4774;1368;35308;10192
St Catherine University;Doctor's degree practice;Private not-for-profit;3071;1870;443;34744;5017
Belhaven University;Master's degree;Private not-for-profit;2280;1104;281;19970;4025
Blue Mountain College;Master's degree;Private not-for-profit;585;326;83;9470;532
Millsaps College;Master's degree;Private not-for-profit;1901;902;171;32520;804
Mississippi College;Doctor's degree research and practice;Private not-for-profit;1936;1303;598;14868;4921
Rust College;Bachelor's degree;Private not-for-profit;3152;437;287;8900;922
Tougaloo College;Bachelor's degree;Private not-for-profit;2661;945;153;10227;878
Avila University;Master's degree;Private not-for-profit;1629;995;182;24950;1971
Central Methodist University-College of Liberal Arts and Sciences;Bachelor's degree;Private not-for-profit;1285;836;291;21320;1107
Culver-Stockton College;Master's degree;Private not-for-profit;2040;1209;220;23300;843
Drury University;Master's degree;Private not-for-profit;1076;871;325;22295;4649
Evangel University;Master's degree;Private not-for-profit;1379;886;460;20040;2274
Fontbonne University;Master's degree;Private not-for-profit;676;441;160;22684;1997
Hannibal-LaGrange University;Master's degree;Private not-for-profit;703;479;173;18770;1229
Lindenwood University;Doctor's degree research;Private not-for-profit;3379;2240;1369;15150;12213
Maryville University of Saint Louis;Doctor's degree research;Private not-for-profit;1595;1214;409;25002;5033
Missouri Baptist University;Doctor's degree research;Private not-for-profit;840;512;265;21790;5345
Missouri Valley College;Master's degree;Private not-for-profit;2164;480;415;18300;1668
College of the Ozarks;Bachelor's degree;Private not-for-profit;3006;391;357;18330;1513
Rockhurst University;Doctor's degree practice;Private not-for-profit;2576;1943;438;31290;2920
Saint Louis University;Doctor's degree research and practice;Private not-for-profit;13389;8626;1638;36726;17343
Southwest Baptist University;Doctor's degree research and practice;Private not-for-profit;2179;1966;482;20040;3812
Stephens College;Master's degree;Private not-for-profit;783;529;168;27954;854
Washington University in St Louis;Doctor's degree research and practice;Private not-for-profit;30117;4684;1610;44841;14032
Webster University;Doctor's degree other;Private not-for-profit;1736;1008;418;23760;17904
Westminster College;Bachelor's degree;Private not-for-profit;1420;1021;261;21680;1026
William Jewell College;Bachelor's degree;Private not-for-profit;1433;828;259;31000;1044
William Woods University;Doctor's degree research;Private not-for-profit;897;674;208;20650;2136
Carroll College;Bachelor's degree;Private not-for-profit;3279;1738;315;27914;1431
Rocky Mountain College;Master's degree;Private not-for-profit;1396;933;238;23718;1067
Concordia University-Nebraska;Master's degree;Private not-for-profit;1299;929;282;24750;2206
Creighton University;Doctor's degree research and practice;Private not-for-profit;5336;4090;966;34330;8019
