Name;Higher.degree;Type;Total.applicants;Total.eligibles;Total.qualified;Tuition.fees;Total.students
The College of Saint Scholastica;Doctor's degree professional practice;Private not-for-profit;1810;1315;432;31612;4206
Southern Polytechnic State University;Master's degree;Public;1689;1317;797;5732;6549
Kettering University;Master's degree;Private not-for-profit;2140;1318;372;35600;1985
Wells College;Bachelor's degree;Private not-for-profit;2214;1321;161;35900;534
Fisk University;Master's degree;Private not-for-profit;3334;1323;226;20449;646
Franklin College;Bachelor's degree;Private not-for-profit;2221;1333;296;27695;1014
Embry-Riddle Aeronautical University-Prescott;Master's degree;Private not-for-profit;1689;1334;448;31034;1921
Fort Valley State University;Master's degree;Public;4076;1334;624;6438;3180
Southern University and A & M College;Doctor's degree  research scholarship and professional practice;Public;3721;1336;781;6630;6777
University of Sioux Falls;Master's degree;Private not-for-profit;1385;1342;237;24550;1408
University of South Carolina-Aiken;Master's degree;Public;2620;1342;526;9308;3299
Lyndon State College;Master's degree;Public;1354;1345;365;10286;1519
University of Northwestern-St Paul;Master's degree;Private not-for-profit;1945;1345;466;28020;3352
